name, in, out
Conv_0,, conv1/7x7_s2_1
BatchNormalization_1, conv1/7x7_s2_1, conv1/7x7_s2/bn_1
Unsqueeze_2, conv1/7x7_s2/bn_1, conv1/7x7_s2/bn_1 OC2_DUMMY_0
Mul_3, OC2_DUMMY_0 conv1/7x7_s2/bn_1, conv1/7x7_s2/bn/sc_internal_1
Unsqueeze_4, conv1/7x7_s2/bn/sc_internal_1, conv1/7x7_s2/bn/sc_internal_1 OC2_DUMMY_1
Add_5, OC2_DUMMY_1 conv1/7x7_s2/bn/sc_internal_1, conv1/7x7_s2/bn/sc_1
Relu_6, conv1/7x7_s2/bn/sc_1, conv1/7x7_s2/bn/sc_2
MaxPool_7, conv1/7x7_s2/bn/sc_2, pool1/3x3_s2_1
Conv_8, pool1/3x3_s2_1, conv2/3x3_reduce_1
BatchNormalization_9, conv2/3x3_reduce_1, conv2/3x3_reduce/bn_1
Unsqueeze_10, conv2/3x3_reduce/bn_1, conv2/3x3_reduce/bn_1 OC2_DUMMY_2
Mul_11, conv2/3x3_reduce/bn_1 OC2_DUMMY_2, conv2/3x3_reduce/bn/sc_internal_1
Unsqueeze_12, conv2/3x3_reduce/bn/sc_internal_1, OC2_DUMMY_3 conv2/3x3_reduce/bn/sc_internal_1
Add_13, OC2_DUMMY_3 conv2/3x3_reduce/bn/sc_internal_1, conv2/3x3_reduce/bn/sc_1
Relu_14, conv2/3x3_reduce/bn/sc_1, conv2/3x3_reduce/bn/sc_2
Conv_15, conv2/3x3_reduce/bn/sc_2, conv2/3x3_1
BatchNormalization_16, conv2/3x3_1, conv2/3x3/bn_1
Unsqueeze_17, conv2/3x3/bn_1, conv2/3x3/bn_1 OC2_DUMMY_4
Mul_18, OC2_DUMMY_4 conv2/3x3/bn_1, conv2/3x3/bn/sc_internal_1
Unsqueeze_19, conv2/3x3/bn/sc_internal_1, OC2_DUMMY_5 conv2/3x3/bn/sc_internal_1
Add_20, conv2/3x3/bn/sc_internal_1 OC2_DUMMY_5, conv2/3x3/bn/sc_1
Relu_21, conv2/3x3/bn/sc_1, conv2/3x3/bn/sc_2
MaxPool_22, conv2/3x3/bn/sc_2, pool2/3x3_s2_1
Conv_23, pool2/3x3_s2_1, inception_3a/1x1_1 pool2/3x3_s2_1
BatchNormalization_24, inception_3a/1x1_1 pool2/3x3_s2_1, inception_3a/1x1/bn_1 pool2/3x3_s2_1
Unsqueeze_25, inception_3a/1x1/bn_1 pool2/3x3_s2_1, inception_3a/1x1/bn_1 OC2_DUMMY_6 pool2/3x3_s2_1
Mul_26, OC2_DUMMY_6 inception_3a/1x1/bn_1 pool2/3x3_s2_1, inception_3a/1x1/bn/sc_internal_1 pool2/3x3_s2_1
Unsqueeze_27, inception_3a/1x1/bn/sc_internal_1 pool2/3x3_s2_1, pool2/3x3_s2_1 inception_3a/1x1/bn/sc_internal_1 OC2_DUMMY_7
Add_28, pool2/3x3_s2_1 OC2_DUMMY_7 inception_3a/1x1/bn/sc_internal_1, pool2/3x3_s2_1 inception_3a/1x1/bn/sc_1
Relu_29, pool2/3x3_s2_1 inception_3a/1x1/bn/sc_1, pool2/3x3_s2_1 inception_3a/1x1/bn/sc_2
Conv_30, pool2/3x3_s2_1 inception_3a/1x1/bn/sc_2, pool2/3x3_s2_1 inception_3a/3x3_reduce_1 inception_3a/1x1/bn/sc_2
BatchNormalization_31, pool2/3x3_s2_1 inception_3a/3x3_reduce_1 inception_3a/1x1/bn/sc_2, pool2/3x3_s2_1 inception_3a/1x1/bn/sc_2 inception_3a/3x3_reduce/bn_1
